,Year,County,Violent Crime Arrests,Estimated Population,Arrests Per Capita
658,2014,Plumas,83,19140,0.004336468129571578
659,2014,Riverside,5042,2279967,0.002211435516391246
660,2014,Sacramento,5204,1454406,0.003578093049671137
661,2014,San Benito,251,57517,0.004363927186744788
662,2014,San Bernardino,8394,2085669,0.004024607931555774
663,2014,San Diego,8793,3194362,0.002752662346972572
664,2014,San Joaquin,2505,710731,0.0035245402268931567
665,2014,San Luis Obispo,631,272357,0.0023168121252620643
666,2014,San Mateo,1256,745193,0.001685469401886491
667,2014,Santa Barbara,1205,433398,0.002780354316355867
668,2014,Santa Clara,3764,1868558,0.0020143875651705756
669,2014,Santa Cruz,716,271595,0.002636278282000773
670,2014,Shasta,451,179412,0.002513767195059416
671,2014,Sierra,13,3089,0.004208481709291033
672,2014,Siskiyou,215,45231,0.004753377108620194
673,2014,Solano,1486,424233,0.0035027920977387427
674,2014,Sonoma,1248,490486,0.0025444151311148533
675,2014,Stanislaus,2264,526042,0.0043038388569733976
676,2014,Sutter,391,95733,0.004084276059457032
677,2014,Tehama,201,63717,0.0031545741324921135
678,2014,Trinity,62,13389,0.004630666965419374
679,2014,Tulare,1928,459446,0.004196358222729113
680,2014,Tuolumne,143,53604,0.0026677113648235205
681,2014,Ventura,2041,842967,0.0024212098456997725
682,2014,Yolo,645,206381,0.003125287696057292
683,2014,Yuba,392,73682,0.005320159604788144
684,2015,Alameda,3452,1594569,0.002164848306971978
685,2015,Alpine,6,1121,0.0053523639607493305
686,2015,Amador,87,36312,0.0023959021810971578
687,2015,Butte,601,224323,0.0026791724433071953
688,2015,Calaveras,161,45668,0.003525444512568976
689,2015,Colusa,61,21715,0.002809118121114437
690,2015,Contra Costa,2586,1102871,0.002344789191120267
691,2015,Del Norte,162,28031,0.005779315757554137
692,2015,El Dorado,461,184917,0.002493010377628882
693,2015,Fresno,4220,972297,0.004340237602296418
694,2015,Glenn,113,28728,0.003933444722918407
695,2015,Humboldt,448,134398,0.00333338293724609
696,2015,Imperial,623,183429,0.003396409509946628
697,2015,Inyo,79,18574,0.0042532572413050505
698,2015,Kern,3803,874264,0.0043499446391479
699,2015,Kings,632,149721,0.004221184736944049
700,2015,Lake,314,64918,0.004836871129732894
701,2015,Lassen,137,32092,0.00426897669201047
702,2015,Los Angeles,28194,10136559,0.0027814172442541894
703,2015,Madera,408,155878,0.0026174315811083025
704,2015,Marin,521,258972,0.002011800503529339
705,2015,Mariposa,73,17791,0.004103198246304311
706,2015,Mendocino,409,88863,0.004602590504484431
707,2015,Merced,914,266134,0.003434360134368401
708,2015,Modoc,44,9399,0.0046813490796893285
709,2015,Mono,46,14695,0.003130316434161279
710,2015,Monterey,1243,425413,0.0029218665155977836
711,2015,Napa,460,140362,0.0032772402787079125
712,2015,Nevada,189,98193,0.0019247807888546026
713,2015,Orange,5907,3147655,0.00187663514584667
714,2015,Placer,685,369454,0.0018540873830030261
715,2015,Plumas,68,19560,0.003476482617586912
716,2015,Riverside,5232,2308441,0.002266464683307912
717,2015,Sacramento,5503,1470912,0.003741216333811948
718,2015,San Benito,212,58344,0.0036336212806801042
719,2015,San Bernardino,8774,2104291,0.0041695754056829595
720,2015,San Diego,8573,3227496,0.0026562387683826717
721,2015,San Joaquin,2559,719511,0.0035565821787297207
722,2015,San Luis Obispo,664,274293,0.00242076903165593
723,2015,San Mateo,1269,753123,0.0016849837277576173
724,2015,Santa Barbara,1201,437643,0.0027442458807749696
725,2015,Santa Clara,3793,1889638,0.002007262766730982
726,2015,Santa Cruz,798,271646,0.0029376467903079744
727,2015,Shasta,432,178673,0.002417824741287156
728,2015,Sierra,13,3105,0.004186795491143317
729,2015,Siskiyou,196,45119,0.004344067909306501
730,2015,Solano,1599,429552,0.003722482958989831
731,2015,Sonoma,1340,496253,0.0027002355653265573
732,2015,Stanislaus,2361,532297,0.004435493718732211
733,2015,Sutter,397,95948,0.004137657898028098
734,2015,Tehama,252,64323,0.0039177277179236044
735,2015,Trinity,47,13571,0.0034632672610714023
736,2015,Tulare,2082,462189,0.004504650694845615
737,2015,Tuolumne,154,54337,0.0028341645655814637
738,2015,Ventura,2214,848073,0.0026106243212553636
739,2015,Yolo,575,209393,0.0027460325798856697
740,2015,Yuba,454,74076,0.0061288406501430965
741,2016,Alameda,3513,1627865,0.0021580413609236637
742,2016,Alpine,5,1166,0.004288164665523156
743,2016,Amador,82,37707,0.0021746625295038058
744,2016,Butte,631,224601,0.002809426494093971
745,2016,Calaveras,166,45207,0.003671997699471321
746,2016,Colusa,76,21948,0.0034627300893019866
747,2016,Contra Costa,2517,1123429,0.0022404620140658643
748,2016,Del Norte,156,26811,0.005818507329081347
749,2016,El Dorado,436,183750,0.0023727891156462583
750,2016,Fresno,4183,984541,0.0042486803495232804
751,2016,Glenn,130,28668,0.004534672805916004
752,2016,Humboldt,444,135116,0.0032860653068474497
753,2016,Imperial,444,185831,0.002389267667934844
754,2016,Inyo,114,18650,0.006112600536193029
755,2016,Kern,3348,886507,0.0037766199251669757
756,2016,Kings,529,150373,0.0035179187753120573
757,2016,Lake,310,64306,0.0048207010232326685
758,2016,Lassen,114,30780,0.003703703703703704
759,2016,Los Angeles,27804,10241335,0.0027148804330685405
760,2016,Madera,429,155349,0.0027615240522951548
761,2016,Marin,487,262274,0.001856836743253239
762,2016,Mariposa,68,18159,0.0037446995979954845
763,2016,Mendocino,407,88378,0.004605218493290185
764,2016,Merced,993,271579,0.003656394640233597
765,2016,Modoc,38,9638,0.00394272670678564
766,2016,Mono,51,13721,0.003716930252897019
767,2016,Monterey,1217,437178,0.002783763135381927
768,2016,Napa,385,142028,0.0027107330948826992
769,2016,Nevada,181,98095,0.0018451501095876446
770,2016,Orange,6019,3183011,0.0018909768140920656
771,2016,Placer,669,373796,0.0017897462787188733
772,2016,Plumas,74,19879,0.0037225212535841844
773,2016,Riverside,5742,2347828,0.002445664673902858
