Entity Name,Fiscal Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total
Santa Cruz,2007,23293455,49398520,6814833
Shasta,2007,19296559,20918142,3852300
Sierra,2007,3306237,739537,542670
Siskiyou,2007,7960962,12105530,891615
Solano,2007,58724863,45492064,5410927
Sonoma,2007,59580509,45464922,15904893
Stanislaus,2007,43315957,53163944,5860047
Sutter,2007,6934528,22110970,0
Tehama,2007,7233462,6979833,1612383
Trinity,2007,2421861,2437690,955721
Tulare,2007,35003135,43573791,8348173
Tuolumne,2007,9999780,4791271,794913
Ventura,2007,126800606,50961790,13128002
Yolo,2007,8953185,20248848,3313737
Yuba,2007,10361637,0,0
Alameda,2008,108900252,227507505,25382684
Alpine,2008,2878110,603998,320928
Amador,2008,8754565,2738623,1005054
Butte,2008,14697476,34073154,4082667
Calaveras,2008,9009889,3886214,1308997
Colusa,2008,4917667,3943840,690156
Contra Costa,2008,93186434,112893400,15988786
Del Norte,2008,3721761,5406916,753871
El Dorado,2008,31315481,16366498,3427173
Fresno,2008,85081190,81241109,19397512
Glenn,2008,5829512,6426487,1383406
Humboldt,2008,13228912,24469375,2491873
Imperial,2008,18357692,16934573,2641942
Inyo,2008,5447218,3413793,700262
Kern,2008,92039735,84572903,12559640
Kings,2008,12727535,10745776,2450060
Lake,2008,10790255,6969175,4174822
Lassen,2008,3592690,5213580,1356974
Los Angeles,2008,1486912376,1202206272,179639548
Madera,2008,12405060,12746495,2421798
Marin,2008,27892780,32849462,7091033
Mariposa,2008,5464602,2297514,812065
Mendocino,2008,10615319,19553830,2774997
Merced,2008,18659832,17537821,3760049
Modoc,2008,2114424,1761823,813280
Mono,2008,4957529,1904304,905189
Monterey,2008,38561460,52880257,5631623
Napa,2008,21450112,18997012,4507585
Nevada,2008,13515972,9558980,1935637
Orange,2008,310886994,195162415,43283492
Placer,2008,53749731,28349072,0
Plumas,2008,6943528,3305607,1074965
Riverside,2008,341423230,123545172,24086921
Sacramento,2008,235782005,51784477,23284962
San Benito,2008,5710996,4110910,807767
San Bernardino,2008,273978974,165766572,22505191
San Diego,2008,272824792,240113316,47206537
San Joaquin,2008,57302142,67197660,9788099
San Luis Obispo,2008,30861026,30075207,5437000
San Mateo,2008,75090829,100956367,16966752
Santa Barbara,2008,59879920,65553378,11039556
Santa Clara,2008,108384059,249526171,44787892
Santa Cruz,2008,26026071,54053326,6915424
Shasta,2008,20452176,20758461,3580275
Sierra,2008,2508131,982376,532297
Siskiyou,2008,9168125,15780263,829234
Solano,2008,61594593,48250520,5368178
Sonoma,2008,61993694,43337172,16883130
Stanislaus,2008,48115020,56901039,5766789
Sutter,2008,7904356,26932897,0
Tehama,2008,7508729,7340211,1629519
Trinity,2008,2841373,2645018,845290
Tulare,2008,37610378,46558256,9290985
Tuolumne,2008,10608496,5472705,1085574
Ventura,2008,135627970,52925021,13578133
Yolo,2008,9912833,24844589,4179741
Yuba,2008,11732371,0,0
Alameda,2009,101192471,249402149,25555123
Alpine,2009,2255451,742876,412753
Amador,2009,8865401,3145984,682744
Butte,2009,16194830,38607619,4032632
Calaveras,2009,8622770,4104155,1569345
Colusa,2009,5349299,4075822,649209
Contra Costa,2009,95989582,126833224,15237009
Del Norte,2009,3830987,4784376,556884
El Dorado,2009,34113993,15103539,3066603
Fresno,2009,74884339,79678964,20382411
Glenn,2009,5704551,6424347,1146930
Humboldt,2009,14857920,29358897,2602910
Imperial,2009,17752704,17225868,2035783
Inyo,2009,5393004,3144728,757352
Kern,2009,86216537,85818191,14703633
Kings,2009,13756137,11945291,2342255
Lake,2009,10968137,7207869,4121585
Lassen,2009,3637915,5857591,1293999
Los Angeles,2009,1517310400,1355010557,181648313
Madera,2009,13375150,12241753,2004581
Marin,2009,27325438,33092574,6198998
Mariposa,2009,5168775,2828683,859046
Mendocino,2009,10623511,19819020,3034127
Merced,2009,18803719,20383029,3907755
Modoc,2009,1817610,1880356,763930
Mono,2009,5335372,1900578,758081
Monterey,2009,39179391,54959296,6160541
Napa,2009,23525962,19421420,4388905
Nevada,2009,14244235,12552444,1578988
Orange,2009,293824509,216012539,36225705
Placer,2009,60559214,29077789,0
Plumas,2009,6420103,3319271,462430
Riverside,2009,368872711,143552155,24483603
Sacramento,2009,236328197,60660020,23684295
San Benito,2009,5586494,4136798,1233438
San Bernardino,2009,268821110,186128022,20327027
San Diego,2009,270264874,262693130,47644983
San Joaquin,2009,59273079,71021582,10091999
San Luis Obispo,2009,26886614,32544512,5092502
San Mateo,2009,79329328,110335046,16619600
Santa Barbara,2009,59327395,58287918,9962055
Santa Clara,2009,111887725,241157801,44228673
Santa Cruz,2009,26683366,49500822,7324222
Shasta,2009,19915040,21181851,3774572
Sierra,2009,2042605,1703010,388845
Siskiyou,2009,9002218,14517390,907730
Solano,2009,64369438,48179860,5039909
Sonoma,2009,62159915,42972922,16883130
Stanislaus,2009,48884458,53245511,6338195
Sutter,2009,7907195,25267348,0
Tehama,2009,7488008,7976780,1705132
Trinity,2009,2346714,2769849,530860
Tulare,2009,38533917,48362592,8602102
Tuolumne,2009,11346809,8663015,0
Ventura,2009,138623556,55340539,14221043
Yolo,2009,9581091,19682079,3645573
Yuba,2009,12101339,0,0
Alameda,2010,112546150,273464378,26445657
Alpine,2010,2250926,467357,320581
Amador,2010,8655324,3520512,569010
Butte,2010,15768840,40836680,3689432
Calaveras,2010,8640705,4026797,1170690
Colusa,2010,5175879,4667775,608735
Contra Costa,2010,87882365,134754874,13435666
Del Norte,2010,4016979,3893337,545801
El Dorado,2010,30693217,11642001,1570619
Fresno,2010,69649704,77530443,15820591
Glenn,2010,5524778,6048668,883276
Humboldt,2010,13949456,26704324,1849426
Imperial,2010,17473911,22162290,2403221
Inyo,2010,5639227,3487913,663984
Kern,2010,83343711,82345274,10467811
Kings,2010,12938740,11542270,1525465
Lake,2010,10749978,7701751,1946162
Lassen,2010,3516125,4816401,1065499
Los Angeles,2010,1530380504,1316062288,154811626
Madera,2010,13284948,10510221,1468278
Marin,2010,26627882,32288829,5499138
Mariposa,2010,5012767,3502089,778981
Mendocino,2010,11284022,20847657,2843147
Merced,2010,19189799,20615898,3841955
Modoc,2010,2156884,2203103,685422
Mono,2010,8199565,1874401,617837
Monterey,2010,38839644,57995017,805920
Napa,2010,23561923,19357565,4163157
Nevada,2010,14773178,13626892,1526298
Orange,2010,287067311,220980784,27807709
Placer,2010,51531755,27907619,0
Plumas,2010,6284702,3179304,0
Riverside,2010,344379154,125298422,20922485
Sacramento,2010,175950676,155250917,20320453
San Benito,2010,5692057,4700954,1218815
San Bernardino,2010,272472954,178068821,19077026
San Diego,2010,233490125,263344488,41211856
San Joaquin,2010,58381820,65462477,7936437
San Luis Obispo,2010,27604120,33423020,4311298
San Mateo,2010,85226667,111082928,16443889
Santa Barbara,2010,59153453,60565527,8316170
Santa Clara,2010,114183209,247756883,37359058
Santa Cruz,2010,24860328,47437681,6776087
Shasta,2010,20340820,20601205,3294478
Sierra,2010,2328821,1790636,0
Siskiyou,2010,9332427,16725843,590192
Solano,2010,61276280,44756153,4903513
Sonoma,2010,65170051,44105028,15317339
Stanislaus,2010,42702235,52505665,5178291
Sutter,2010,7999900,24500194,0
Tehama,2010,7504344,9213955,1186608
Trinity,2010,2448216,3529584,557322
Tulare,2010,37484865,47920554,6904982
Tuolumne,2010,10522764,7733247,0
Ventura,2010,135781940,50030477,14261942
Yolo,2010,9246666,17492845,2621477
Yuba,2010,12264612,0,0
Alameda,2011,114211130,286613208,23739839
Alpine,2011,2251840,677199,249764
Amador,2011,8755031,3641466,553308
Butte,2011,14029687,40568526,3306435
Calaveras,2011,7652497,4212414,937866
Colusa,2011,5248839,4721590,446897
Contra Costa,2011,101834557,141385608,14261198
Del Norte,2011,3930500,4121823,548649
El Dorado,2011,29894975,14026822,1744131
Fresno,2011,75238946,73485026,16346870
Glenn,2011,5399291,5788270,1063995
Humboldt,2011,14846732,24980873,1898620
Imperial,2011,18456769,24966270,1990742
Inyo,2011,6449388,3448417,772295
Kern,2011,86260143,80828877,10655511
Kings,2011,11907367,12521832,1124862
Lake,2011,10438256,7979814,1908493
Lassen,2011,3469373,5042111,913483
Los Angeles,2011,1504588767,1357450012,163168998
Madera,2011,12427455,12531120,1071505
Marin,2011,27747246,35394031,6068895
Mariposa,2011,4954960,4341418,785790
Mendocino,2011,10648380,19153689,2419027
Merced,2011,19772520,18470174,5281180
Modoc,2011,1733728,2563197,681492
Mono,2011,8121126,1801141,651477
Monterey,2011,37392911,51571604,4191496
Napa,2011,23968764,19852243,4160349
Nevada,2011,14808540,16294367,1458464
Orange,2011,290832184,241927474,21484562
Placer,2011,54456471,27961817,0
Plumas,2011,5803393,3336490,75000
Riverside,2011,352868780,137921457,20818701
Sacramento,2011,186893535,166843510,20222693
San Benito,2011,9282700,4432510,986240
San Bernardino,2011,283752659,192414560,424031
San Diego,2011,277915539,291562059,39012850
San Joaquin,2011,55116390,68580501,7300157
San Luis Obispo,2011,27969114,34903833,4413823
San Mateo,2011,97472533,105393198,15371255
Santa Barbara,2011,61685133,61485751,8572051
Santa Clara,2011,115760688,269420360,37929064
Santa Cruz,2011,24385619,48400879,6198823
Shasta,2011,19008142,23588495,3235991
Sierra,2011,2746345,1861957,116903
Siskiyou,2011,8985936,12655776,637112
Solano,2011,60138543,45557223,5181515
Sonoma,2011,61660340,47872735,13031460
Stanislaus,2011,34575963,55780099,4847159
Sutter,2011,8143387,23507909,0
Tehama,2011,7291801,9598285,1142426
Trinity,2011,2528925,3258791,539551
Tulare,2011,37497826,48044186,7234244
Tuolumne,2011,10967287,6860127,0
Ventura,2011,144354056,47752433,16529647
Yolo,2011,8817562,15903053,2010725
Yuba,2011,12114772,0,0
Alameda,2012,118340656,297303972,22341496
Alpine,2012,2634918,787699,434408
Amador,2012,8651005,3802445,579549
Butte,2012,13466204,43858820,3679888
Calaveras,2012,7396865,4697548,1068450
Colusa,2012,5463678,4668096,351126
Contra Costa,2012,104064144,140675306,12005404
Del Norte,2012,3533841,4611854,530665
El Dorado,2012,30296621,14428322,1540907
Fresno,2012,75944256,85095273,16346870
Glenn,2012,5098105,5547623,1107705
Humboldt,2012,14133157,27788772,1741264
Imperial,2012,18219142,26871024,2267526
Inyo,2012,6277135,3471431,718563
Kern,2012,89752120,87801160,11966035
Kings,2012,11214449,12340723,1095035
Lake,2012,9465194,8427778,1737388
Lassen,2012,4490651,5477828,794206
Los Angeles,2012,1552804835,1496940830,177076549
Madera,2012,12511477,12646731,1015651
Marin,2012,28198057,35191358,6065353
Mariposa,2012,5064027,3447613,676663
Mendocino,2012,10652140,15797746,1774523
Merced,2012,18822224,22568578,3090115
Modoc,2012,1816480,2969450,616325
Mono,2012,7090647,1684319,416342
Monterey,2012,35430522,52097074,3979804
Napa,2012,25525861,18794414,3920892
Nevada,2012,14429022,15766036,1589402
Orange,2012,305315675,238650342,24013335
Placer,2012,57710090,28046853,0
Plumas,2012,7152317,3349584,28051
Riverside,2012,345243193,170771264,21698483
Sacramento,2012,189368345,169260539,20032455
San Benito,2012,6204714,5117818,1139557
San Bernardino,2012,318836273,194680749,0
San Diego,2012,304001717,288447554,50839292
San Joaquin,2012,56566287,74006180,8778753
San Luis Obispo,2012,27878918,35344792,4885595
San Mateo,2012,99049965,109817031,15793385
Santa Barbara,2012,65808644,63835759,8741046
Santa Clara,2012,114343888,270518915,37917650
Santa Cruz,2012,24482145,48097097,5660468
Shasta,2012,20656945,26664399,3220362
Sierra,2012,2977295,1442300,138617
Siskiyou,2012,8670165,8287107,454283
Solano,2012,60219364,47740840,6110086
Sonoma,2012,66253267,51845893,10247750
Stanislaus,2012,32347555,60891900,5297709
Sutter,2012,7998783,25632000,0
Tehama,2012,7699289,8143448,1407819
Trinity,2012,2662011,3414996,545294
Tulare,2012,40084792,48550031,6964691
