,County,Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total,Population,Police Spending Per Capita,Mental Health Spending Per Capita,Drug and Alcohol Abuse Services Spending Per Capita
156,Mendocino,2006,9499019,13767983.0,2387477.0,87802.0,108.18681806792556,156.80716840163095,27.19160155805107
157,Modoc,2006,1695419,1924889.0,933902.0,9614.0,176.34897025171625,200.21728728936966,97.13979613064281
158,Monterey,2006,34320044,38161844.0,5373322.0,406935.0,84.33790163048153,93.77872141742539,13.204374162949858
159,Napa,2006,17541037,13807496.0,4472289.0,131330.0,133.56458539556843,105.13588669763192,34.05382623924465
160,Nevada,2006,11438550,7209068.0,1679531.0,98068.0,116.63896479993474,73.51091079659012,17.126187951217524
161,Orange,2006,276371743,150787001.0,40451886.0,2973057.0,92.9587771105633,50.7178305024088,13.606158913199444
162,Riverside,2006,258658868,102128820.0,23666664.0,1975913.0,130.90600041601022,51.6869011945364,11.97758403330511
163,Sacramento,2006,218112598,33544361.0,24378062.0,1365214.0,159.7644017714439,24.57077132229819,17.85658658642528
164,San Benito,2006,4671871,2643387.0,564610.0,55025.0,84.90451612903226,48.039745570195365,10.260972285324852
165,San Diego,2006,201202350,216116031.0,49064866.0,2976492.0,67.5971411984309,72.60763039174975,16.48412493633445
166,San Joaquin,2006,45355699,60681081.0,10686269.0,656247.0,69.11376204386458,92.46683184837417,16.28391291693524
167,San Luis Obispo,2006,25253764,24520362.0,4981828.0,260873.0,96.80482073652696,93.99348341913498,19.09675589271408
168,San Mateo,2006,65967250,82433518.0,15723796.0,699347.0,94.3269221144868,117.8721264265093,22.483539644840114
169,Santa Barbara,2006,50712177,54104303.0,9734232.0,412271.0,123.00689837509793,131.23480186576305,23.611246000810148
170,Santa Cruz,2006,22548953,42996437.0,6445159.0,255107.0,88.39017745495028,168.5427565688123,25.264532137495248
171,Shasta,2006,16927298,20552539.0,3795196.0,174747.0,96.86745981333013,117.61311496048573,21.7182326449095
172,Siskiyou,2006,9076228,10782605.0,855604.0,44918.0,202.06215770960418,240.05087047508795,19.04813215192128
173,Solano,2006,55512992,41446602.0,5194914.0,410964.0,135.0799388754246,100.85214763336934,12.640800654071889
174,Sonoma,2006,55378392,43440644.0,15861305.0,469751.0,117.88882195035242,92.47589467611564,33.76534589601725
175,Stanislaus,2006,38118246,53525366.0,5451626.0,500780.0,76.11774831263229,106.8839929709653,10.88626941970526
176,Tehama,2006,6469783,6401698.0,1703919.0,61000.0,106.06201639344262,104.94586885245901,27.933098360655737
177,Trinity,2006,2315061,2306775.0,955962.0,13806.0,167.6851368970013,167.08496305953932,69.2425032594524
178,Tulare,2006,32355909,39414738.0,8870897.0,412239.0,78.48822891575033,95.61137592513082,21.518820393024434
179,Ventura,2006,115381828,46407847.0,14197814.0,799049.0,144.3989392390204,58.07884998291719,17.768389673224046
180,Alameda,2007,106867280,194606813.0,24112330.0,1470622.0,72.66808194083863,132.32959455250906,16.396007947657523
181,Alpine,2007,2106032,310739.0,305294.0,1252.0,1682.1341853035144,248.19408945686902,243.84504792332268
182,Amador,2007,7431677,2703316.0,1205738.0,38025.0,195.44186719263644,71.09312294543064,31.709086127547668
183,Butte,2007,15391145,33997468.0,3902183.0,216401.0,71.12326190729247,157.10402447308468,18.032185618365904
184,Calaveras,2007,8163738,2791232.0,1097360.0,45477.0,179.51355630318622,61.376783868768825,24.129999780108626
185,Colusa,2007,4289296,3265062.0,805161.0,21006.0,204.19384937636866,155.43473293344758,38.33004855755498
186,Contra Costa,2007,95772659,101190853.0,15536002.0,1015672.0,94.29486980048677,99.62946010129254,15.2962787199017
187,Del Norte,2007,3283621,4668141.0,640795.0,28378.0,115.71009232504052,164.49859045739657,22.580696314046094
188,El Dorado,2007,29867660,13514400.0,2578307.0,176226.0,169.48497951494105,76.68788941472882,14.630684461997662
189,Glenn,2007,5422948,5946544.0,1407862.0,27872.0,194.56615958668198,213.35189437428244,50.511696326062
190,Humboldt,2007,12464901,25214433.0,2608901.0,132443.0,94.11521182697463,190.3795066556934,19.698292850509276
191,Imperial,2007,18726350,16039196.0,2224116.0,164707.0,113.69492492729513,97.38017206311814,13.503469797883515
192,Inyo,2007,4857341,2890385.0,636906.0,18434.0,263.4990235434523,156.79640880980796,34.5506129977216
193,Kern,2007,73304055,78475385.0,11790292.0,795982.0,92.09260385285094,98.58939649389056,14.812259573708953
194,Kings,2007,12777546,9625666.0,1868082.0,148933.0,85.79392075631324,64.63084742803811,12.543103274626846
195,Lake,2007,9715320,9048057.0,3390897.0,63890.0,152.06323368289247,141.61929879480357,53.07398653936453
196,Lassen,2007,3459167,3821704.0,1574138.0,35379.0,97.77458379264536,108.02182085417903,44.49356963170242
197,Los Angeles,2007,1328392241,1121004634.0,175719160.0,9780808.0,135.81620669785156,114.61268169255546,17.96570999042206
198,Madera,2007,11565693,10615874.0,1824946.0,145163.0,79.67383561926937,73.13071512713294,12.571702155507946
199,Marin,2007,25234289,29708867.0,7853078.0,248025.0,101.74090918254208,119.78174377582904,31.662445318012296
200,Mariposa,2007,4312447,1806708.0,875420.0,18310.0,235.5241398143091,98.67329328235937,47.811032222829056
201,Mendocino,2007,9725087,17063663.0,2579412.0,87617.0,110.99543467591906,194.75287900749854,29.43962929568463
202,Modoc,2007,1856875,1521050.0,942567.0,9615.0,193.12272490899636,158.19552782111285,98.03088923556942
203,Monterey,2007,35138888,46697746.0,5570329.0,406890.0,86.35967460493008,114.76749490034162,13.690012042566787
204,Napa,2007,20716983,15717963.0,4894634.0,132537.0,156.31093958668146,118.59301930781594,36.9303213442284
205,Nevada,2007,12287428,7047587.0,1642874.0,98408.0,124.86208438338346,71.61599666693765,16.694516705958865
206,Orange,2007,278462392,178682044.0,41615689.0,2977151.0,93.53317718852688,60.01779688030604,13.978360183947673
207,Riverside,2007,296604555,120431365.0,24555592.0,2049902.0,144.69206576704642,58.74981584485502,11.97891021131742
208,Sacramento,2007,220250701,46225012.0,23623610.0,1380172.0,159.58206730755296,33.49221111571601,17.116424619540172
209,San Benito,2007,5190539,3192646.0,853955.0,54948.0,94.46274659678241,58.103042876901796,15.541147994467497
210,San Diego,2007,250188676,214385289.0,44328928.0,2998477.0,83.43858432130712,71.49806018188568,14.783814583203407
211,San Joaquin,2007,51194918,61244430.0,10506031.0,665304.0,76.94966210935151,92.05480502146388,15.791323966186885
212,San Luis Obispo,2007,29172858,25889871.0,5988817.0,262982.0,110.93100668486817,98.44731198332966,22.772725889984866
213,San Mateo,2007,77047693,91304189.0,15597465.0,701838.0,109.77988225202967,130.0929687477737,22.223739666418748
214,Santa Barbara,2007,54333545,59076278.0,10965294.0,414750.0,131.0031223628692,142.4382833031947,26.438321880650996
215,Santa Cruz,2007,23293455,49398520.0,6814833.0,256543.0,90.79746865047964,192.55454251334083,26.5640964672589
216,Shasta,2007,19296559,20918142.0,3852300.0,175546.0,109.92309138345504,119.16045936677565,21.944675469677463
217,Siskiyou,2007,7960962,12105530.0,891615.0,44877.0,177.39514673440738,269.74909196247523,19.86797245805201
218,Solano,2007,58724863,45492064.0,5410927.0,411998.0,142.53676716877266,110.41816707848096,13.133381715445221
219,Sonoma,2007,59580509,45464922.0,15904893.0,471479.0,126.36938018448329,96.43042850264806,33.73404329779269
220,Stanislaus,2007,43315957,53163944.0,5860047.0,505959.0,85.61159501066292,105.07559703454233,11.582059020592578
221,Tehama,2007,7233462,6979833.0,1612383.0,61777.0,117.08988782232869,112.98433073797692,26.100053417938714
222,Trinity,2007,2421861,2437690.0,955721.0,13806.0,175.42090395480227,176.56743444879038,69.22504708097928
223,Tulare,2007,35003135,43573791.0,8348173.0,419842.0,83.37216143215781,103.78616479532776,19.88408258344806
224,Ventura,2007,126800606,50961790.0,13128002.0,803572.0,157.79619747825956,63.41907134643815,16.337057538092417
225,Alameda,2008,108900252,227507505.0,25382684.0,1484085.0,73.37871617865554,153.29816351489302,17.10325486747727
226,Alpine,2008,2878110,603998.0,320928.0,1228.0,2343.7377850162866,491.85504885993487,261.34201954397395
227,Amador,2008,8754565,2738623.0,1005054.0,37975.0,230.53495720868992,72.11647136273865,26.466201448321264
228,Butte,2008,14697476,34073154.0,4082667.0,217801.0,67.48121450314737,156.44167841286313,18.74494148328061
229,Calaveras,2008,9009889,3886214.0,1308997.0,45670.0,197.28243923801182,85.09336544777753,28.662075760893366
230,Colusa,2008,4917667,3943840.0,690156.0,21145.0,232.56878694726885,186.5140695199811,32.63920548593048
231,Contra Costa,2008,93186434,112893400.0,15988786.0,1027264.0,90.71322853716279,109.89716372811662,15.56443718459909
232,Del Norte,2008,3721761,5406916.0,753871.0,28526.0,130.46908083853327,189.54343406015565,26.427504732524714
233,El Dorado,2008,31315481,16366498.0,3427173.0,177897.0,176.0315294805421,91.99985384801317,19.264928582269516
234,Glenn,2008,5829512,6426487.0,1383406.0,28066.0,207.70726145514146,228.97765980189553,49.29117081165823
235,Humboldt,2008,13228912,24469375.0,2491873.0,132931.0,99.51713294867263,184.07576110914684,18.745612385372862
236,Imperial,2008,18357692,16934573.0,2641942.0,168495.0,108.95095996913855,100.50489925517077,15.679646280305054
237,Inyo,2008,5447218,3413793.0,700262.0,18416.0,295.7872502172024,185.3710360556038,38.02465247610773
238,Kern,2008,92039735,84572903.0,12559640.0,812830.0,113.23368355006582,104.04746749012709,15.45174267682049
239,Kings,2008,12727535,10745776.0,2450060.0,151106.0,84.22918348708853,71.11415827300041,16.214180773761466
240,Lake,2008,10790255,6969175.0,4174822.0,64178.0,168.1301224718751,108.5913397114276,65.05067156969677
241,Lassen,2008,3592690,5213580.0,1356974.0,35437.0,101.38245336794876,147.12249908287947,38.29257555662161
242,Los Angeles,2008,1486912376,1202206272.0,179639548.0,9785474.0,151.95098121971404,122.85621238174053,18.35777684351315
243,Madera,2008,12405060,12746495.0,2421798.0,147958.0,83.84176590654104,86.14941402289838,16.36814501412563
244,Marin,2008,27892780,32849462.0,7091033.0,249546.0,111.77410176881216,131.6369006115105,28.41573497471408
245,Mariposa,2008,5464602,2297514.0,812065.0,18381.0,297.29622980251344,124.99396115554104,44.17958761764866
246,Mendocino,2008,10615319,19553830.0,2774997.0,87715.0,121.02056660776378,222.92458530467994,31.636515989283474
247,Modoc,2008,2114424,1761823.0,813280.0,9607.0,220.0920162381597,183.3895076506714,84.65493910690122
248,Monterey,2008,38561460,52880257.0,5631623.0,409387.0,94.1931717421413,129.16936053172182,13.756233099732038
249,Napa,2008,21450112,18997012.0,4507585.0,133969.0,160.11250363890153,141.8015511051064,33.64647791653293
250,Nevada,2008,13515972,9558980.0,1935637.0,98581.0,137.10524340390137,96.96574390602652,19.63499051541372
251,Orange,2008,310886994,195162415.0,43283492.0,2990648.0,103.95305432133772,65.25756792507845,14.472947668866412
252,Riverside,2008,341423230,123545172.0,24086921.0,2102741.0,162.3705582380331,58.754345875217155,11.455010864390811
253,Sacramento,2008,235782005,51784477.0,23284962.0,1394510.0,169.0787480907272,37.13453255982388,16.6975941370087
254,San Benito,2008,5710996,4110910.0,807767.0,55022.0,103.79477299989095,74.71393260877467,14.680800407109883
255,San Diego,2008,272824792,240113316.0,47206537.0,3032689.0,89.96134849303704,79.17505421756071,15.565901086461553
256,San Joaquin,2008,57302142,67197660.0,9788099.0,672492.0,85.20865973126818,99.92335968308916,14.554967196635797
257,San Luis Obispo,2008,30861026,30075207.0,5437000.0,265505.0,116.23519707726784,113.2754825709497,20.477957100619573
258,San Mateo,2008,75090829,100956367.0,16966752.0,707820.0,106.08746432708881,142.63000056511544,23.97043316097313
259,Santa Barbara,2008,59879920,65553378.0,11039556.0,418309.0,143.14757750849253,156.71041741870243,26.390911981334373
260,Santa Cruz,2008,26026071,54053326.0,6915424.0,258737.0,100.58890301734966,208.91223906901604,26.727619165407344
261,Shasta,2008,20452176,20758461.0,3580275.0,176240.0,116.04729913753972,117.78518497503404,20.314769632319564
262,Siskiyou,2008,9168125,15780263.0,829234.0,44952.0,203.95366168357359,351.046961203061,18.44709912795871
263,Solano,2008,61594593,48250520.0,5368178.0,412908.0,149.17268011276119,116.85537698470361,13.000905770777026
264,Sonoma,2008,61993694,43337172.0,16883130.0,474819.0,130.56279129520934,91.27093060724192,35.556980659998864
265,Stanislaus,2008,48115020,56901039.0,5766789.0,509389.0,94.45633886872312,111.70449106674859,11.320992404625935
266,Tehama,2008,7508729,7340211.0,1629519.0,62365.0,120.3997274112082,117.69760282209573,26.128742082899063
267,Trinity,2008,2841373,2645018.0,845290.0,13759.0,206.51013881822806,192.2391162148412,61.43542408605276
268,Tulare,2008,37610378,46558256.0,9290985.0,427531.0,87.97111320582601,108.90030430541879,21.73172237802639
269,Ventura,2008,135627970,52925021.0,13578133.0,808970.0,167.65512936202825,65.42272395762512,16.784470375910107
270,Alameda,2009,101192471,249402149.0,25555123.0,1497799.0,67.56078152008381,166.51242857018866,17.06178399104286
271,Alpine,2009,2255451,742876.0,412753.0,1194.0,1888.9874371859296,622.1742043551088,345.6892797319933
272,Amador,2009,8865401,3145984.0,682744.0,37884.0,234.01438602048358,83.04255094498997,18.02196177805934
273,Butte,2009,16194830,38607619.0,4032632.0,218887.0,73.98717146290095,176.38150735310913,18.42335086140337
274,Calaveras,2009,8622770,4104155.0,1569345.0,45632.0,188.9632275596073,89.94028313464236,34.39132626227209
275,Colusa,2009,5349299,4075822.0,649209.0,21221.0,252.0757268743226,192.06550115451674,30.592761886810234
276,Contra Costa,2009,95989582,126833224.0,15237009.0,1038390.0,92.44078043894876,122.14411155731469,14.673686187270679
277,Del Norte,2009,3830987,4784376.0,556884.0,28565.0,134.11472081218275,167.49084544022406,19.4953264484509
278,El Dorado,2009,34113993,15103539.0,3066603.0,179150.0,190.42139547864917,84.30666480602846,17.117516048004465
279,Glenn,2009,5704551,6424347.0,1146930.0,28088.0,203.09566362859584,228.72212332668755,40.833452007974934
280,Humboldt,2009,14857920,29358897.0,2602910.0,133484.0,111.30862125797849,219.94319169338647,19.499790237032155
281,Imperial,2009,17752704,17225868.0,2035783.0,171670.0,103.4118017125881,100.34291372983049,11.858699831071242
282,Inyo,2009,5393004,3144728.0,757352.0,18416.0,292.8433970460469,170.7606429192007,41.124674196351
283,Kern,2009,86216537,85818191.0,14703633.0,825503.0,104.4412158405239,103.9586664130839,17.81172569936148
284,Kings,2009,13756137,11945291.0,2342255.0,151816.0,90.6105878168309,78.68268825420246,15.428248669441956
285,Lake,2009,10968137,7207869.0,4121585.0,64384.0,170.35501056163022,111.95124565109344,64.01567159542743
286,Lassen,2009,3637915,5857591.0,1293999.0,34947.0,104.09806278078233,167.61355767304775,37.02747016911323
287,Los Angeles,2009,1517310400,1355010557.0,181648313.0,9801096.0,154.81027836070578,138.25092183568043,18.533469420154645
288,Madera,2009,13375150,12241753.0,2004581.0,149632.0,89.3869626817793,81.8123997540633,13.39674000213858
289,Marin,2009,27325438,33092574.0,6198998.0,250760.0,108.970481735524,131.9691099058861,24.720840644440898
290,Mariposa,2009,5168775,2828683.0,859046.0,18334.0,281.92293007527,154.28618959310572,46.855350714519474
291,Mendocino,2009,10623511,19819020.0,3034127.0,87677.0,121.16645186308838,226.04582729792307,34.60573468526523
292,Modoc,2009,1817610,1880356.0,763930.0,9628.0,188.78375571250518,195.30078936435396,79.34461985874533
293,Monterey,2009,39179391,54959296.0,6160541.0,412233.0,95.04185982199387,133.32095198589147,14.944317897887846
294,Napa,2009,23525962,19421420.0,4388905.0,135225.0,173.9764244777223,143.6229987058606,32.45631355148826
295,Nevada,2009,14244235,12552444.0,1578988.0,98558.0,144.5264209906857,127.36098540960653,16.020901398161488
296,Orange,2009,293824509,216012539.0,36225705.0,3006995.0,97.71366729908098,71.83668047336295,12.047145073403847
297,Riverside,2009,368872711,143552155.0,24483603.0,2140626.0,172.3200180694806,67.06082940224027,11.437590218935956
298,Sacramento,2009,236328197,60660020.0,23684295.0,1406168.0,168.0654068361675,43.138529677819434,16.843147475977265
299,San Benito,2009,5586494,4136798.0,1233438.0,55068.0,101.44719256192344,75.12163143749547,22.39845282196557
300,San Diego,2009,270264874,262693130.0,47644983.0,3064436.0,88.19400176737253,85.72315754024558,15.54771677398386
301,San Joaquin,2009,59273079,71021582.0,10091999.0,677833.0,87.44495915660642,104.77740387381553,14.888621533622588
302,San Luis Obispo,2009,26886614,32544512.0,5092502.0,267537.0,100.49680604925673,121.64490145288315,19.034757809200222
303,San Mateo,2009,79329328,110335046.0,16619600.0,713818.0,111.1338296316428,154.570277017391,23.282685502467015
304,Santa Barbara,2009,59327395,58287918.0,9962055.0,421197.0,140.85426771795622,138.38635602817683,23.65177102401014
305,Santa Cruz,2009,26683366,49500822.0,7324222.0,260892.0,102.27744047345261,189.73683363230762,28.07376998911427
306,Shasta,2009,19915040,21181851.0,3774572.0,176756.0,112.66966892212994,119.83667315395235,21.35470365928172
307,Siskiyou,2009,9002218,14517390.0,907730.0,44996.0,200.06707262867812,322.63734554182594,20.173570984087476
308,Solano,2009,64369438,48179860.0,5039909.0,412832.0,155.92162913727617,116.70573017595535,12.20813551275095
309,Sonoma,2009,62159915,42972922.0,16883130.0,478622.0,129.8726656944311,89.78467767883633,35.27445458002349
310,Stanislaus,2009,48884458,53245511.0,6338195.0,511226.0,95.62201061761334,104.15258809215494,12.398029442946955
311,Tehama,2009,7488008,7976780.0,1705132.0,62921.0,119.00650021455476,126.774526787559,27.099569301187202
312,Trinity,2009,2346714,2769849.0,530860.0,13750.0,170.67010909090908,201.44356363636365,38.608
313,Tulare,2009,38533917,48362592.0,8602102.0,434933.0,88.5973632720442,111.19549907686931,19.777993392085676
314,Ventura,2009,138623556,55340539.0,14221043.0,815284.0,170.03100269353993,67.87884835223063,17.443054199518205
315,Alameda,2010,112546150,273464378.0,26445657.0,1509240.0,74.5714068007739,181.19343378124088,17.522499403673372
316,Alpine,2010,2250926,467357.0,320581.0,1178.0,1910.8030560271648,396.7376910016978,272.14006791171477
317,Amador,2010,8655324,3520512.0,569010.0,38011.0,227.70576938254715,92.61824208781668,14.969614059088158
318,Butte,2010,15768840,40836680.0,3689432.0,219967.0,71.68729854932785,185.64912009528703,16.772661353748518
319,Calaveras,2010,8640705,4026797.0,1170690.0,45602.0,189.48083417393974,88.3030788123328,25.671900355247576
320,Colusa,2010,5175879,4667775.0,608735.0,21380.0,242.0897567820393,218.32436856875586,28.472170252572496
321,Contra Costa,2010,87882365,134754874.0,13435666.0,1047948.0,83.86137957226886,128.58927542206294,12.820928137655685
322,Del Norte,2010,4016979,3893337.0,545801.0,28581.0,140.54718169413246,136.22116091109478,19.096637626395157
323,El Dorado,2010,30693217,11642001.0,1570619.0,180682.0,169.87423761083008,64.43365138752061,8.692725340653745
324,Glenn,2010,5524778,6048668.0,883276.0,28120.0,196.47147937411094,215.10199146514935,31.41095305832148
325,Humboldt,2010,13949456,26704324.0,1849426.0,134353.0,103.82690375354477,198.76239458739292,13.76542392056746
326,Imperial,2010,17473911,22162290.0,2403221.0,174244.0,100.28414751727463,127.1911227933243,13.792274052478135
327,Inyo,2010,5639227,3487913.0,663984.0,18525.0,304.41171390013494,188.28140350877192,35.842591093117406
328,Kern,2010,83343711,82345274.0,10467811.0,837074.0,99.565523478211,98.37275318550093,12.50523968012386
329,Kings,2010,12938740,11542270.0,1525465.0,152717.0,84.72363914953803,75.57947052391025,9.988835558582213
330,Lake,2010,10749978,7701751.0,1946162.0,64580.0,166.45986373490246,119.25907401672345,30.135676680086714
331,Lassen,2010,3516125,4816401.0,1065499.0,34794.0,101.05549807438064,138.42619417140887,30.623067195493476
332,Los Angeles,2010,1530380504,1316062288.0,154811626.0,9822121.0,155.8095755489064,133.98962281161064,15.761527067320795
333,Madera,2010,13284948,10510221.0,1468278.0,150749.0,88.12627612786818,69.72000477615109,9.739885505044809
334,Marin,2010,26627882,32288829.0,5499138.0,252279.0,105.54934021460367,127.98857217604319,21.797842864447695
335,Mariposa,2010,5012767,3502089.0,778981.0,18277.0,274.2664003939377,191.61180718936367,42.62083492914592
336,Mendocino,2010,11284022,20847657.0,2843147.0,87807.0,128.50936713473868,237.42591137380847,32.37950277312743
337,Modoc,2010,2156884,2203103.0,685422.0,9666.0,223.14132009104077,227.9229257190151,70.91061452513966
338,Monterey,2010,38839644,57995017.0,805920.0,415108.0,93.56515412856413,139.71067047611706,1.9414706534203148
339,Napa,2010,23561923,19357565.0,4163157.0,136316.0,172.84781683734852,142.0050837759324,30.54048681005898
340,Nevada,2010,14773178,13626892.0,1526298.0,98682.0,149.7048904562129,138.08893212541295,15.466832857055998
341,Orange,2010,287067311,220980784.0,27807709.0,3025097.0,94.895241706299,73.04915644027282,9.192336311860412
342,Riverside,2010,344379154,125298422.0,20922485.0,2179692.0,157.99441113698632,57.484462024909945,9.598826347942737
343,Sacramento,2010,175950676,155250917.0,20320453.0,1417259.0,124.14856846913655,109.54308069308432,14.337854266580774
344,San Benito,2010,5692057,4700954.0,1218815.0,55272.0,102.98264944275583,85.05127370096974,22.051219423939788
345,San Diego,2010,233490125,263344488.0,41211856.0,3091579.0,75.52455395770252,85.1812255161521,13.33035837026969
346,San Joaquin,2010,58381820,65462477.0,7936437.0,684057.0,85.34642580954511,95.69740094758185,11.60201123590578
347,San Luis Obispo,2010,27604120,33423020.0,4311298.0,269333.0,102.49067139934579,124.0955248706991,16.007314365488075
348,San Mateo,2010,85226667,111082928.0,16443889.0,718614.0,118.59867327939617,154.57940980832547,22.882784081579263
349,Santa Barbara,2010,59153453,60565527.0,8316170.0,423740.0,139.59846368055884,142.9308703450229,19.62564308302261
350,Santa Cruz,2010,24860328,47437681.0,6776087.0,262552.0,94.68725433437947,180.67918355221062,25.808552210609708
351,Shasta,2010,20340820,20601205.0,3294478.0,177248.0,114.7590946019137,116.22813797616898,18.586827495937897
352,Siskiyou,2010,9332427,16725843.0,590192.0,44962.0,207.5625417018816,371.9995329389262,13.12646234598105
353,Solano,2010,61276280,44756153.0,4903513.0,413268.0,148.27250113727655,108.29813341463651,11.865213372436289
354,Sonoma,2010,65170051,44105028.0,15317339.0,482961.0,134.93853748025202,91.32213160068825,31.715478061375556
355,Stanislaus,2010,42702235,52505665.0,5178291.0,514003.0,83.07779332027245,102.15050301262833,10.07443730873166
356,Tehama,2010,7504344,9213955.0,1186608.0,63418.0,118.33145163833612,145.2892711848371,18.710902267495033
357,Trinity,2010,2448216,3529584.0,557322.0,13811.0,177.26565780899284,255.56324668742306,40.35348635145898
358,Tulare,2010,37484865,47920554.0,6904982.0,441245.0,84.95249804530363,108.60305272580993,15.648861743475846
359,Ventura,2010,135781940,50030477.0,14261942.0,822108.0,165.16314158237117,60.8563315282177,17.348015102638584
360,Alameda,2011,114211130,286613208.0,23739839.0,1525457.0,74.87010777753814,187.88678278050446,15.562443910251158
361,Alpine,2011,2251840,677199.0,249764.0,1169.0,1926.2959794696321,579.2976903336184,213.65611633875108
362,Amador,2011,8755031,3641466.0,553308.0,37716.0,232.13042210202568,96.54963410754057,14.670378619153675
363,Butte,2011,14029687,40568526.0,3306435.0,220711.0,63.565871207144184,183.8083557230949,14.980834666147134
364,Calaveras,2011,7652497,4212414.0,937866.0,45540.0,168.03902064119455,92.49920948616601,20.59433465085639
365,Colusa,2011,5248839,4721590.0,446897.0,21520.0,243.90515799256505,219.4047397769517,20.766589219330854
366,Contra Costa,2011,101834557,141385608.0,14261198.0,1059557.0,96.1105037293888,133.4384162437698,13.459585468266456
367,Del Norte,2011,3930500,4121823.0,548649.0,28363.0,138.57842964425484,145.32394316539154,19.34382822691535
368,El Dorado,2011,29894975,14026822.0,1744131.0,181227.0,164.95872579692872,77.39918444823343,9.624012978198612
369,Glenn,2011,5399291,5788270.0,1063995.0,28234.0,191.23365445916272,205.01062548700148,37.684883473825884
370,Humboldt,2011,14846732,24980873.0,1898620.0,135691.0,109.41574607011519,184.10117841271713,13.992232351445564
371,Imperial,2011,18456769,24966270.0,1990742.0,176355.0,104.65690794136826,141.56825720847155,11.288265147004621
372,Inyo,2011,6449388,3448417.0,772295.0,18550.0,347.67590296495956,185.89849056603774,41.633153638814015
373,Kern,2011,86260143,80828877.0,10655511.0,845564.0,102.0149190362882,95.5916725404582,12.601661139783623
374,Kings,2011,11907367,12521832.0,1124862.0,151336.0,78.68165538933235,82.74192525241845,7.43287783475181
375,Lake,2011,10438256,7979814.0,1908493.0,64821.0,161.03201123092825,123.10538251492572,29.442510914672713
376,Lassen,2011,3469373,5042111.0,913483.0,34653.0,100.1175367212074,145.50287132427206,26.360863417308746
377,Los Angeles,2011,1504588767,1357450012.0,163168998.0,9871802.0,152.41277803181222,137.50782400214266,16.52879565453197
378,Madera,2011,12427455,12531120.0,1071505.0,151185.0,82.20031749181466,82.88600059529715,7.087376393160697
379,Marin,2011,27747246,35394031.0,6068895.0,254091.0,109.20200243219949,139.2966732391151,23.884730273799544
380,Mariposa,2011,4954960,4341418.0,785790.0,18251.0,271.4897813818421,237.8728836776067,43.05462714371815
381,Mendocino,2011,10648380,19153689.0,2419027.0,87442.0,121.77649184602365,219.0444980672903,27.664360376020678
