,County,Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total,Population,Police Spending Per Capita,Mental Health Spending Per Capita,Drug and Alcohol Abuse Services Spending Per Capita
382,Modoc,2011,1733728,2563197.0,681492.0,9718.0,178.4037867874048,263.7576661864581,70.126775056596
383,Monterey,2011,37392911,51571604.0,4191496.0,417892.0,89.47984407454558,123.40892862270634,10.030093899859294
384,Napa,2011,23968764,19852243.0,4160349.0,136901.0,175.08100013878644,145.01167266857072,30.389471223731018
385,Nevada,2011,14808540,16294367.0,1458464.0,98429.0,150.44895305245404,165.5443720854626,14.817421694825711
386,Orange,2011,290832184,241927474.0,21484562.0,3034764.0,95.83354224578913,79.71871091129327,7.079483610587182
387,Riverside,2011,352868780,137921457.0,20818701.0,2212675.0,159.47610019546477,62.33245144451851,9.408838170992125
388,Sacramento,2011,186893535,166843510.0,20222693.0,1429290.0,130.75970236970804,116.73174093431004,14.148768269560412
389,San Benito,2011,9282700,4432510.0,986240.0,55661.0,166.77206661755986,79.63403460232479,17.718689926519467
390,San Diego,2011,277915539,291562059.0,39012850.0,3119963.0,89.07654962574877,93.45048611153402,12.504266877523868
391,San Joaquin,2011,55116390,68580501.0,7300157.0,691689.0,79.6837740660904,99.14933011801547,10.554103072334533
392,San Luis Obispo,2011,27969114,34903833.0,4413823.0,270024.0,103.58010399075637,129.26196560305752,16.34603961129381
393,San Mateo,2011,97472533,105393198.0,15371255.0,726326.0,134.19942697907,145.1045370811454,21.16302459226298
394,Santa Barbara,2011,61685133,61485751.0,8572051.0,424400.0,145.3466847313855,144.87688737040529,20.198046654099905
395,Santa Cruz,2011,24385619,48400879.0,6198823.0,264802.0,92.0900106494664,182.78139515562572,23.409275609700835
396,Shasta,2011,19008142,23588495.0,3235991.0,177603.0,107.026018704639,132.8158589663463,18.22036226865537
397,Siskiyou,2011,8985936,12655776.0,637112.0,44964.0,199.8473445423005,281.46463837736854,14.169379948403167
398,Solano,2011,60138543,45557223.0,5181515.0,413527.0,145.42833478829678,110.16746911326226,12.530052451230512
399,Sonoma,2011,61660340,47872735.0,13031460.0,485538.0,126.99385012089682,98.5972982547195,26.839217527773314
400,Stanislaus,2011,34575963,55780099.0,4847159.0,517628.0,66.79693331890856,107.7609769950621,9.36417465824878
401,Tehama,2011,7291801,9598285.0,1142426.0,63529.0,114.77909301263989,151.08509499598608,17.982748036329866
402,Trinity,2011,2528925,3258791.0,539551.0,13751.0,183.90844302232566,236.9857464911643,39.23721911133736
403,Tulare,2011,37497826,48044186.0,7234244.0,445549.0,84.16094750521268,107.83143043750519,16.236696749403546
404,Ventura,2011,144354056,47752433.0,16529647.0,829563.0,174.01216785223062,57.56335926264792,19.92572836541649
405,Alameda,2012,118340656,297303972.0,22341496.0,1543365.0,76.67703751218927,192.63361032549008,14.475834297136451
406,Alpine,2012,2634918,787699.0,434408.0,1166.0,2259.7924528301887,675.5566037735849,372.56260720411666
407,Amador,2012,8651005,3802445.0,579549.0,37651.0,229.76826644710633,100.99187272582401,15.392658893522084
408,Butte,2012,13466204,43858820.0,3679888.0,221100.0,60.9054907281773,198.36644052464948,16.643545906829488
409,Calaveras,2012,7396865,4697548.0,1068450.0,45496.0,162.58275452787058,103.25189027606822,23.484482152277124
410,Colusa,2012,5463678,4668096.0,351126.0,21619.0,252.7257504972478,215.925620981544,16.24154678754799
411,Contra Costa,2012,104064144,140675306.0,12005404.0,1070440.0,97.21623257725795,131.41820746608872,11.215391801502186
412,Del Norte,2012,3533841,4611854.0,530665.0,28211.0,125.26464854134912,163.4771543015136,18.810570344900924
413,El Dorado,2012,30296621,14428322.0,1540907.0,181187.0,167.21189158162562,79.63221423170536,8.504511913106349
414,Glenn,2012,5098105,5547623.0,1107705.0,28312.0,180.0686987849675,195.94599463125178,39.12492935857587
415,Humboldt,2012,14133157,27788772.0,1741264.0,135336.0,104.4301368445942,205.33170774960098,12.866229236862328
416,Imperial,2012,18219142,26871024.0,2267526.0,178933.0,101.82102798254095,150.17366276762812,12.67248634963925
417,Inyo,2012,6277135,3471431.0,718563.0,18543.0,338.5177695087095,187.20978266731382,38.75117294936094
418,Kern,2012,89752120,87801160.0,11966035.0,853807.0,105.11991585920471,102.83490296987493,14.014917891279879
419,Kings,2012,11214449,12340723.0,1095035.0,151383.0,74.07997595502798,81.5198734336088,7.233540093669698
420,Lake,2012,9465194,8427778.0,1737388.0,64729.0,146.22802762285838,130.2009609294134,26.840952277958873
421,Lassen,2012,4490651,5477828.0,794206.0,33893.0,132.49493995810343,161.62121972088633,23.43274422447113
422,Los Angeles,2012,1552804835,1496940830.0,177076549.0,9949794.0,156.06401851133802,150.4494294052721,17.797006551090405
423,Madera,2012,12511477,12646731.0,1015651.0,151379.0,82.65001750573064,83.54349678621209,6.709325599984146
424,Marin,2012,28198057,35191358.0,6065353.0,255992.0,110.1521024094503,137.47053814181695,23.69352557892434
425,Mariposa,2012,5064027,3447613.0,676663.0,18249.0,277.4961367746178,188.92065318647596,37.07945640857033
426,Mendocino,2012,10652140,15797746.0,1774523.0,87654.0,121.52485910511786,180.2284664704406,20.24463230428731
427,Modoc,2012,1816480,2969450.0,616325.0,9659.0,188.06087586706698,307.42830520757843,63.8083652552024
428,Monterey,2012,35430522,52097074.0,3979804.0,423072.0,83.7458446789199,123.13997144694048,9.40691891687467
429,Napa,2012,25525861,18794414.0,3920892.0,138120.0,184.80930350419925,136.07308137851143,28.387576020851434
430,Nevada,2012,14429022,15766036.0,1589402.0,98130.0,147.0398654845613,160.66479160297564,16.1969020686844
431,Orange,2012,305315675,238650342.0,24013335.0,3068570.0,99.49770577174384,77.77249402816295,7.825578363863298
432,Riverside,2012,345243193,170771264.0,21698483.0,2240166.0,154.1150044237793,76.23152212827085,9.686104958293269
433,Sacramento,2012,189368345,169260539.0,20032455.0,1440656.0,131.44591422240978,117.48851842493976,13.905092541175687
434,San Benito,2012,6204714,5117818.0,1139557.0,55775.0,111.24543254146123,91.75827879874495,20.431322277005826
