County,Year,Population
San Bernardino,1978,786570
San Diego,1978,1742625
San Francisco,1978,683000
San Joaquin,1978,321030
San Luis Obispo,1978,143100
San Mateo,1978,583050
Santa Barbara,1978,292000
Santa Clara,1978,1243210
Santa Cruz,1978,176200
Shasta,1978,104075
Sierra,1978,3050
Siskiyou,1978,37200
Solano,1978,207705
Sonoma,1978,277805
Stanislaus,1978,249375
Sutter,1978,49700
Tehama,1978,35155
Trinity,1978,11000
Tulare,1978,230645
Tuolumne,1978,29610
Ventura,1978,485375
Yolo,1978,108950
Yuba,1978,48180
Alameda,1979,1104250
Alpine,1979,1050
Amador,1979,18040
Butte,1979,136530
Calaveras,1979,19280
Colusa,1979,13010
Contra Costa,1979,638170
Del Norte,1979,17660
El Dorado,1979,77525
Fresno,1979,500115
Glenn,1979,20680
Humboldt,1979,107770
Imperial,1979,89150
Inyo,1979,18040
Kern,1979,388615
Kings,1979,73375
Lake,1979,33570
Lassen,1979,20625
Los Angeles,1979,7366045
Madera,1979,58300
Marin,1979,223410
Mariposa,1979,10200
Mendocino,1979,64260
Merced,1979,130080
Modoc,1979,8310
Mono,1979,7900
Monterey,1979,284425
Napa,1979,98100
Nevada,1979,46350
Orange,1979,1875325
Placer,1979,110455
Plumas,1979,16190
Riverside,1979,625370
Sacramento,1979,755920
San Benito,1979,24130
San Bernardino,1979,832560
San Diego,1979,1803400
San Francisco,1979,680100
San Joaquin,1979,331770
San Luis Obispo,1979,148575
San Mateo,1979,584310
Santa Barbara,1979,294460
Santa Clara,1979,1264265
Santa Cruz,1979,181700
Shasta,1979,110050
Sierra,1979,3100
Siskiyou,1979,38280
Solano,1979,218730
Sonoma,1979,288110
Stanislaus,1979,257370
Sutter,1979,51000
Tehama,1979,36555
Trinity,1979,11500
Tulare,1979,237180
Tuolumne,1979,32800
Ventura,1979,502575
Yolo,1979,110690
Yuba,1979,48820
Alameda,1980,1105379
Alpine,1980,1097
Amador,1980,19314
Butte,1980,143851
Calaveras,1980,20710
Colusa,1980,12791
Contra Costa,1980,656331
Del Norte,1980,18217
El Dorado,1980,85812
Fresno,1980,514621
Glenn,1980,21350
Humboldt,1980,108525
Imperial,1980,92110
Inyo,1980,17895
Kern,1980,403089
Kings,1980,73738
Lake,1980,36366
Lassen,1980,21661
Los Angeles,1980,7477421
Madera,1980,63116
Marin,1980,222592
Mariposa,1980,11108
Mendocino,1980,66738
Merced,1980,134558
Modoc,1980,8610
Mono,1980,8577
Monterey,1980,290444
Napa,1980,99199
Nevada,1980,51645
Orange,1980,1932718
Placer,1980,117247
Plumas,1980,17340
Riverside,1980,663199
Sacramento,1980,783381
San Benito,1980,25005
San Bernardino,1980,895016
San Diego,1980,1861846
San Francisco,1980,678974
San Joaquin,1980,347342
San Luis Obispo,1980,155435
San Mateo,1980,587329
Santa Barbara,1980,298694
Santa Clara,1980,1295071
Santa Cruz,1980,188143
Shasta,1980,115715
Sierra,1980,3073
Siskiyou,1980,39732
Solano,1980,235203
Sonoma,1980,299681
Stanislaus,1980,265900
Sutter,1980,52246
