County,Year,Population
Shasta,2013,178430
Sierra,2013,3215
Siskiyou,2013,44825
Solano,2013,419272
Sonoma,2013,491980
Stanislaus,2013,525744
Sutter,2013,95721
Tehama,2013,63641
Trinity,2013,13731
Tulare,2013,455047
Tuolumne,2013,54938
Ventura,2013,841047
Yolo,2013,207213
Yuba,2013,73343
Alameda,2014,1588576
Alpine,2014,1163
Amador,2014,37815
Butte,2014,223137
Calaveras,2014,45358
Colusa,2014,21794
Contra Costa,2014,1098018
Del Norte,2014,27343
El Dorado,2014,182030
Fresno,2014,964611
Glenn,2014,28497
Humboldt,2014,134977
Imperial,2014,182006
Inyo,2014,18613
Kern,2014,871803
Kings,2014,149754
Lake,2014,64851
Lassen,2014,31982
Los Angeles,2014,10088458
Madera,2014,153224
Marin,2014,260622
Mariposa,2014,18218
Mendocino,2014,88194
Merced,2014,266528
Modoc,2014,9636
Mono,2014,13935
Monterey,2014,429308
Napa,2014,140189
Nevada,2014,97842
Orange,2014,3126918
Placer,2014,367108
Plumas,2014,19893
Riverside,2014,2291262
Sacramento,2014,1465964
San Benito,2014,56219
San Bernardino,2014,2100689
San Diego,2014,3230269
San Francisco,2014,848448
San Joaquin,2014,712134
San Luis Obispo,2014,275625
San Mateo,2014,752700
Santa Barbara,2014,438512
Santa Clara,2014,1880197
Santa Cruz,2014,271134
Shasta,2014,178831
Sierra,2014,3204
Siskiyou,2014,44809
Solano,2014,423371
Sonoma,2014,495864
Stanislaus,2014,529850
Sutter,2014,96036
Tehama,2014,63743
Trinity,2014,13722
Tulare,2014,458864
Tuolumne,2014,55082
Ventura,2014,847232
Yolo,2014,208820
Yuba,2014,73646
Alameda,2015,1611770
Alpine,2015,1163
Amador,2015,37765
Butte,2015,224285
Calaveras,2015,45267
Colusa,2015,21873
Contra Costa,2015,1112328
Del Norte,2015,26953
El Dorado,2015,183172
Fresno,2015,975043
Glenn,2015,28564
Humboldt,2015,135183
Imperial,2015,184569
Inyo,2015,18563
Kern,2015,880346
Kings,2015,149730
Lake,2015,65146
Lassen,2015,31608
Los Angeles,2015,10149661
Madera,2015,154827
Marin,2015,262409
Mariposa,2015,18172
Mendocino,2015,88215
Merced,2015,269111
Modoc,2015,9617
Mono,2015,13868
Monterey,2015,432740
Napa,2015,140884
Nevada,2015,98217
Orange,2015,3152314
Placer,2015,370387
Plumas,2015,19860
Riverside,2015,2317895
Sacramento,2015,1481969
